column_name,feature_group,data_type,unit_or_levels,meaning,confidence,evidence_basis,actionability,leakage_risk,modeling_recommendation
Hectares,Farm profile,numeric,hectares (ha),Cultivated land area for the record.,high,Explicit from column name and UCI variable listing.,depends_on_operational_context,none,keep_or_review
Agriblock,Farm profile,categorical,"location block names (e.g., Sankarapuram)",Administrative/operational farming block identifier.,high,Explicit from dataset values and column name.,depends_on_operational_context,none,keep_or_review
Variety,Crop choice,categorical,"rice variety labels (CO_43, ponmani, delux ponni)",Paddy seed variety used for cultivation.,high,Explicit from column name and category values.,depends_on_operational_context,none,keep_or_review
Soil Types,Field condition,categorical,"soil class labels (e.g., clay, alluvial)",Dominant soil type in the field.,high,Explicit from column name and category values.,depends_on_operational_context,none,keep_or_review
Seedrate(in Kg),Input practice,numeric,kilograms (kg),Seed quantity applied for planting.,high,Explicit from column name unit.,depends_on_operational_context,none,keep_or_review
LP_Mainfield(in Tonnes),Input practice,numeric,tonnes,Land-preparation input quantity for the main field (abbreviation LP likely Land Preparation).,medium,Unit is explicit; LP expansion inferred from agronomy naming and source context.,depends_on_operational_context,none,keep_or_review
Nursery,Input practice,categorical,wet/dry,Nursery method used before transplanting.,high,Explicit from values and column name.,depends_on_operational_context,none,keep_or_review
Nursery area (Cents),Input practice,numeric,cents of land area,Area allocated to nursery bed (1 cent = 1/100 acre).,high,Explicit from column name.,depends_on_operational_context,none,keep_or_review
LP_nurseryarea(in Tonnes),Input practice,numeric,tonnes,Land-preparation input quantity for nursery area (LP likely Land Preparation).,medium,Unit is explicit; LP expansion inferred.,depends_on_operational_context,none,keep_or_review
DAP_20days,Fertilizer schedule,numeric,application amount (unit not stated in metadata),DAP fertilizer dose around day 20 of crop schedule.,medium,Timing explicit in name; exact application unit not documented in visible metadata.,depends_on_operational_context,none,keep_or_review
Weed28D_thiobencarb,Crop protection schedule,numeric,application amount (unit not stated),Thiobencarb herbicide/weeding input around day 28.,medium,Chemical name and timing explicit; unit not documented in visible metadata.,depends_on_operational_context,none,keep_or_review
